scenario_id,fault_type,rank,feature,shap_value
49,thermal_anomaly,5,physics_pred_reaction_wheel_degradation,0.019331748718147527
50,thermal_anomaly,1,electronics_temp_residual_c,0.18737923644167767
50,thermal_anomaly,2,battery_temp_residual_c,0.14995704432981152
50,thermal_anomaly,3,physics_pred_thermal_anomaly,0.1295032044099923
50,thermal_anomaly,4,electronics_temp_measured,0.09607766747502572
50,thermal_anomaly,5,battery_temp_measured,0.08140697184164566
51,thermal_anomaly,1,electronics_temp_residual_c,0.2002269625881783
51,thermal_anomaly,2,battery_temp_residual_c,0.16090447664832463
51,thermal_anomaly,3,physics_pred_thermal_anomaly,0.13002018042771735
51,thermal_anomaly,4,physics_confidence,0.020367428394139103
51,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.02033980463434581
52,thermal_anomaly,1,electronics_temp_residual_c,0.20498795359923236
52,thermal_anomaly,2,battery_temp_residual_c,0.16370635153670454
52,thermal_anomaly,3,physics_pred_thermal_anomaly,0.12633652254554278
52,thermal_anomaly,4,rule_pred_battery_voltage_sensor_drift,0.023889105837522958
52,thermal_anomaly,5,physics_confidence,0.021486435116541525
53,thermal_anomaly,1,electronics_temp_residual_c,0.20584545282879105
53,thermal_anomaly,2,battery_temp_residual_c,0.16266636904626078
53,thermal_anomaly,3,physics_pred_thermal_anomaly,0.1317086639871471
53,thermal_anomaly,4,electronics_temp_measured,0.10195269898761994
53,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.02359147604524119
54,thermal_anomaly,1,electronics_temp_residual_c,0.20450188200540753
54,thermal_anomaly,2,battery_temp_residual_c,0.16009741364780658
54,thermal_anomaly,3,physics_pred_thermal_anomaly,0.13091152859949431
54,thermal_anomaly,4,rule_pred_battery_voltage_sensor_drift,0.02061977606443976
54,thermal_anomaly,5,physics_confidence,0.020043494934462055
55,thermal_anomaly,1,electronics_temp_residual_c,0.2061711062174139
55,thermal_anomaly,2,battery_temp_residual_c,0.1502134303220162
55,thermal_anomaly,3,physics_pred_thermal_anomaly,0.13685949197795502
55,thermal_anomaly,4,physics_detected,0.024312065559816246
55,thermal_anomaly,5,physics_confidence,0.023727357041433726
56,thermal_anomaly,1,electronics_temp_residual_c,0.1942094219624226
56,thermal_anomaly,2,battery_temp_residual_c,0.15239455225862159
56,thermal_anomaly,3,physics_pred_thermal_anomaly,0.1263970892950929
56,thermal_anomaly,4,electronics_temp_measured,0.09642931758661206
56,thermal_anomaly,5,battery_temp_measured,0.04591616726787006
57,thermal_anomaly,1,electronics_temp_residual_c,0.20669918061564274
57,thermal_anomaly,2,battery_temp_residual_c,0.15443533840424736
57,thermal_anomaly,3,physics_pred_thermal_anomaly,0.135753262957315
57,thermal_anomaly,4,electronics_temp_measured,0.10323902163767881
57,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.02275825000547386
58,thermal_anomaly,1,electronics_temp_residual_c,0.21041741248257542
58,thermal_anomaly,2,battery_temp_residual_c,0.16722052101147378
58,thermal_anomaly,3,physics_pred_thermal_anomaly,0.13846998845719752
58,thermal_anomaly,4,physics_confidence,0.023870498276978507
58,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.02226750040513275
59,thermal_anomaly,1,electronics_temp_residual_c,0.20590022159917162
59,thermal_anomaly,2,battery_temp_residual_c,0.16382928192278468
59,thermal_anomaly,3,physics_pred_thermal_anomaly,0.13287335776969586
59,thermal_anomaly,4,physics_confidence,0.021767438751818503
59,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.021122526304472772
60,thermal_anomaly,1,electronics_temp_residual_c,0.21183417631846863
60,thermal_anomaly,2,battery_temp_residual_c,0.16544298715373398
60,thermal_anomaly,3,physics_pred_thermal_anomaly,0.12538017883759248
60,thermal_anomaly,4,physics_confidence,0.025111504688774648
60,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.023920565469195576
61,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2415121911424481
61,reaction_wheel_degradation,2,physics_confidence,0.12015795002875324
61,reaction_wheel_degradation,3,wheel_current_residual_a,0.10279650901125471
61,reaction_wheel_degradation,4,physics_detected,0.02946541461525644
61,reaction_wheel_degradation,5,rule_pred_battery_voltage_sensor_drift,0.02572996122171292
62,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.22613446728874073
62,reaction_wheel_degradation,2,physics_confidence,0.1087495796555503
62,reaction_wheel_degradation,3,wheel_current_residual_a,0.08205176799662692
62,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.03615741911980912
62,reaction_wheel_degradation,5,wheel_current_measured,0.027641042260776415
63,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.28295066378911693
63,reaction_wheel_degradation,2,physics_confidence,0.1309388144606553
63,reaction_wheel_degradation,3,physics_detected,0.03713030751680662
63,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.025114096431789006
63,reaction_wheel_degradation,5,wheel_current_residual_a,0.02207267015486867
64,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.24790429045248283
64,reaction_wheel_degradation,2,physics_confidence,0.12007606811412935
64,reaction_wheel_degradation,3,wheel_current_residual_a,0.08865376967666148
64,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.03734176586951258
64,reaction_wheel_degradation,5,physics_detected,0.03205108061009443
65,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2600832978411652
