scenario_id,fault_type,severity,profile,noise_scale,fault_start_time_h,active_samples,rule_detection_recall,model_detection_recall,hybrid_detection_recall,hybrid_prefault_alarms,hybrid_prefault_fpr,raw_diagnosis_accuracy,selective_coverage,accepted_diagnosis_accuracy,operational_coverage,operational_accuracy,end_to_end_correct_fraction,scenario_correctly_diagnosed,first_correct_diagnosis_time_h,diagnosis_delay_min,severity_bin,noise_bin
67,reaction_wheel_degradation,0.5890004606630462,gradual,1.1469157392470744,1.7940930918834836,253,0.30434782608695654,0.841897233201581,0.849802371541502,0,0.0,0.8972332015810277,0.8656126482213439,0.9680365296803652,0.8379446640316206,1.0,0.8379446640316206,True,2.05,15.35441448699097,0.40-0.60,1.00-1.25
68,reaction_wheel_degradation,0.6698805975662906,abrupt,1.2961477284766412,1.8215730090562257,251,0.3665338645418327,0.9203187250996016,0.9203187250996016,0,0.0,0.9402390438247012,0.9322709163346613,0.9871794871794872,0.9203187250996016,1.0,0.9203187250996016,True,1.9166666666666667,5.705619456626465,0.60-0.80,1.25-1.50
69,reaction_wheel_degradation,0.4473512664881101,abrupt,1.2452795036204751,1.6541369758308428,261,0.24904214559386972,0.8582375478927203,0.8582375478927203,0,0.0,0.8888888888888888,0.8467432950191571,0.9728506787330317,0.8237547892720306,1.0,0.8237547892720306,True,1.8333333333333333,10.751781450149425,0.40-0.60,1.00-1.25
70,reaction_wheel_degradation,0.3718692319942847,gradual,0.8751850190891066,2.4354001685708293,214,0.1822429906542056,0.780373831775701,0.780373831775701,0,0.0,0.7990654205607477,0.7663551401869159,0.9878048780487805,0.7570093457943925,1.0,0.7570093457943925,True,2.8,21.87598988575023,0.20-0.40,0.75-1.00
71,reaction_wheel_degradation,0.6695092197744519,gradual,1.4048484465311923,3.0540980414084995,177,0.3107344632768362,0.7966101694915254,0.807909604519774,0,0.0,0.8305084745762712,0.7909604519774012,0.9714285714285714,0.768361581920904,1.0,0.768361581920904,True,3.3,14.75411751549002,0.60-0.80,1.25-1.50
72,reaction_wheel_degradation,0.3273244849123812,gradual,1.376356300655668,3.487812618867782,151,0.17218543046357615,0.4900662251655629,0.543046357615894,0,0.0,0.5894039735099338,0.40397350993377484,1.0,0.40397350993377484,1.0,0.40397350993377484,True,3.733333333333333,14.731242867933068,0.20-0.40,1.25-1.50
73,reaction_wheel_degradation,0.7774408662115393,abrupt,1.4188663231749152,2.4718659568526764,212,0.42452830188679247,0.9292452830188679,0.9386792452830188,2,0.013422818791946308,0.9528301886792453,0.9009433962264151,1.0,0.9009433962264151,1.0,0.9009433962264151,True,2.5166666666666666,2.688042588839412,0.60-0.80,1.25-1.50
74,reaction_wheel_degradation,0.5942738930945521,abrupt,1.1441022936205874,1.9725813673849248,242,0.3305785123966942,0.9049586776859504,0.9132231404958677,0,0.0,0.9462809917355371,0.8966942148760331,1.0,0.8966942148760331,1.0,0.8966942148760331,True,2.0166666666666666,2.645117956904506,0.40-0.60,1.00-1.25
75,reaction_wheel_degradation,0.2291030795492712,gradual,0.9364861493734896,2.4472103761322748,214,0.07476635514018691,0.5607476635514018,0.5841121495327103,0,0.0,0.6121495327102804,0.5420560747663551,0.9741379310344828,0.5280373831775701,1.0,0.5280373831775701,True,2.6166666666666667,10.167377432063516,0.20-0.40,0.75-1.00
76,reaction_wheel_degradation,0.2924945017656537,gradual,1.1991379978622243,2.696593689981004,199,0.12562814070351758,0.3768844221105528,0.44221105527638194,0,0.0,0.5175879396984925,0.3768844221105528,0.9733333333333334,0.36683417085427134,1.0,0.36683417085427134,True,3.1333333333333333,26.204378601139766,0.20-0.40,1.00-1.25
