time_s,time_h,battery_temp_c,electronics_temp_c,battery_soc_percent,in_sunlight
35880.0,9.966666666666667,25.723619204517668,26.224209950312268,98.48921627145373,0
35940.0,9.983333333333333,25.722241982843364,26.213000447328135,97.9745707860614,0
36000.0,10.0,25.721785874416177,26.20229644374951,97.45373745272806,0
36060.0,10.016666666666667,25.72225881651907,26.19209389558115,96.92671627145373,0
36120.0,10.033333333333333,25.723629817450576,26.182370617702652,96.39377768088599,0
36180.0,10.05,25.7258289658028,26.173087223265615,95.85545073885348,0
36240.0,10.066666666666666,25.72874946653279,26.164188815130444,95.31249999999997,0
36300.0,10.083333333333334,25.732251777947074,26.15560735541697,94.76589210107781,0
36360.0,10.1,25.736169749330315,26.147264609606225,94.21675351428333,0
36420.0,10.116666666666667,25.740318475217475,26.13907553652011,93.6663213150164,0
36480.0,10.133333333333333,25.744503413759865,26.130951976018686,93.11588911574948,0
36540.0,10.15,25.74853018671719,26.122806473243127,92.56675052895498,0
36600.0,10.166666666666666,25.75221440589239,26.11455607226475,92.02014263003282,0
36660.0,10.183333333333334,25.75539086595186,26.10612591333759,91.47719189117932,0
36720.0,10.2,25.7579215074537,26.097452476535473,90.9388649491468,0
36780.0,10.216666666666667,25.759701677527087,26.088486330009342,90.40592635857907,0
36840.0,10.233333333333333,25.760664381500963,26.079194262750903,89.87890517730473,0
36900.0,10.25,25.760782403713808,26.069560708648897,89.3580718439714,0
36960.0,10.266666666666667,25.760068354714054,26.05958839959807,88.84342635857905,0
37020.0,10.283333333333333,25.758572852222343,26.049298219115133,88.33469828248012,0
37080.0,10.3,25.75638114752758,26.038728262857628,87.83135855784597,0
37140.0,10.316666666666666,25.753608558794514,26.02793214710381,87.3326426300328,0
37200.0,10.333333333333334,25.750395068957967,26.016976639119413,86.8375838622883,0
37260.0,10.35,25.746899398313953,26.00593871297387,86.34505578241613,0
37320.0,10.366666666666667,25.743292787283753,25.99490215947934,85.85382131501636,0
37380.0,10.383333333333333,25.739752643385742,25.98395389841277,85.36258684761661,0
37440.0,10.4,25.736456138184863,25.973180154192878,84.87005876774445,0
37500.0,10.416666666666666,25.733573800876304,25.962662662151768,84.37499999999994,0
37560.0,10.433333333333334,25.731263154213753,25.952475071203597,83.87628407218676,0
37620.0,10.45,25.729662476113454,25.942679700129382,83.37294434755262,0
37680.0,10.466666666666667,25.728884838161967,25.933324789242196,82.86421627145367,0
37740.0,10.483333333333333,25.729012654955095,25.92444236754662,82.34957078606135,0
37800.0,10.5,25.72937410376459,25.93204682860625,82.72159459558516,1
37860.0,10.516666666666667,25.729266452790316,25.940006277359036,83.08929903414327,1
37920.0,10.533333333333333,25.728725450309152,25.948299700426315,83.45294543735123,1
37980.0,10.55,25.72781071697705,25.95688887332749,83.81304470132277,1
38040.0,10.566666666666666,25.726602379551153,25.965720051991823,84.1703342487858,1
38100.0,10.583333333333334,25.725197228566472,25.97472634238346,84.52574474655987,1
38160.0,10.6,25.723704620624787,25.98383064467698,84.88035803413347,1
38220.0,10.616666666666667,25.722242263202688,25.9929490433103,85.23535810886975,1
38280.0,10.633333333333333,25.72093193770801,26.001994494754555,85.59197731846622,1
38340.0,10.65,25.71989515414094,26.01088065182911,85.95144012235812,1
38400.0,10.666666666666666,25.719248702692003,26.019525657422044,86.31490689155258,1
38460.0,10.683333333333334,25.71910008106439,26.02785574181362,86.68342021619353,1
38520.0,10.7,25.719542829572013,26.035808466383696,87.0578560819863,1
38580.0,10.716666666666667,25.720651888877498,26.04333547193878,87.43888206517589,1
38640.0,10.733333333333333,25.72247919053491,26.050404611544902,87.82692439030927,1
38700.0,10.75,25.725049777488984,26.057001374652543,88.22214530886302,1
38760.0,10.766666666666667,25.728358809615127,26.06312954027369,88.6244318068537,1
38820.0,10.783333333333333,25.732369821451066,26.068811030665348,89.03339615543067,1
38880.0,10.8,25.73701455583423,26.07408497191544,89.44838830176872,1
38940.0,10.816666666666666,25.742194597788853,26.079006002489162,89.86851958090935,1
39000.0,10.833333333333334,25.747784886927693,26.08364190366168,90.29269673512054,1
39060.0,10.85,25.75363901148967,26.088070655399797,90.71966477744573,1
39120.0,10.866666666666667,25.75959600627688,26.09237704636586,91.14805685005541,1
39180.0,10.883333333333333,25.76548821550977,26.096648986204197,91.5764489226651,1
39240.0,10.9,25.771149663187884,26.100973681281975,92.0034169649903,1
39300.0,10.916666666666666,25.776424315221576,26.10543384102415,92.42759411920147,1
