time_s,time_min,in_sunlight,solar_power_w,load_power_w,battery_power_w,battery_voltage_v,battery_current_a,battery_soc,battery_soc_percent
14340.0,239.0,0,0.0,345.8417661836448,345.8417661836448,29.918982831442456,11.559275531927268,0.979745707860614,97.9745707860614
14400.0,240.0,0,0.0,349.99999999999994,349.99999999999994,29.898149498109124,11.706410124885332,0.9745373745272806,97.45373745272806
14460.0,241.0,0,0.0,354.15823381635505,354.15823381635505,29.87706865085815,11.853848111909155,0.9692671627145373,96.92671627145373
14520.0,242.0,0,0.0,358.134732861516,358.134732861516,29.85575110723544,11.9955023598359,0.96393777680886,96.39377768088599
14580.0,243.0,0,0.0,361.7557050458495,361.7557050458495,29.83421802955414,12.125529976602365,0.9585545073885348,95.85545073885348
14640.0,244.0,0,0.0,364.86289650954785,364.86289650954785,29.8125,12.238587723590703,0.9531249999999998,95.31249999999997
14700.0,245.0,0,0.0,367.32050807568874,367.32050807568874,29.790635684043114,12.33006613123191,0.9476589210107781,94.76589210107781
14760.0,246.0,0,0.0,369.0211303259031,369.0211303259031,29.768670140571334,12.396292094451642,0.9421675351428332,94.21675351428333
14820.0,247.0,0,0.0,369.8904379073655,369.8904379073655,29.746652852600654,12.434691047097997,0.936663213150164,93.6663213150164
14880.0,248.0,0,0.0,369.8904379073655,369.8904379073655,29.724635564629978,12.443901527509611,0.9311588911574948,93.11588911574948
14940.0,249.0,0,0.0,369.0211303259031,369.0211303259031,29.702670021158198,12.42383698378082,0.9256675052895499,92.56675052895498
15000.0,250.0,0,0.0,367.32050807568874,367.32050807568874,29.680805705201312,12.375691944619916,0.9202014263003282,92.02014263003282
15060.0,251.0,0,0.0,364.8628965095479,364.8628965095479,29.65908767564717,12.301892104696591,0.9147719189117932,91.47719189117932
15120.0,252.0,0,0.0,361.7557050458495,361.7557050458495,29.637554597965874,12.205990337363327,0.909388649491468,90.9388649491468
15180.0,253.0,0,0.0,358.134732861516,358.134732861516,29.616237054343163,12.092513042908543,0.9040592635857907,90.40592635857907
15240.0,254.0,0,0.0,354.15823381635516,354.15823381635516,29.595156207092188,11.966763457443236,0.8987890517730474,89.87890517730473
15300.0,255.0,0,0.0,350.0000000000001,350.0000000000001,29.574322873758856,11.834590482223797,0.893580718439714,89.3580718439714
15360.0,256.0,0,0.0,345.8417661836449,345.8417661836449,29.553737054343163,11.702133153168209,0.8884342635857907,88.84342635857907
15420.0,257.0,0,0.0,341.86526713848406,341.86526713848406,29.533387931299206,11.575551979804473,0.8833469828248013,88.33469828248013
15480.0,258.0,0,0.0,338.2442949541506,338.2442949541506,29.51325434231384,11.46075898750352,0.8783135855784598,87.83135855784599
15540.0,259.0,0,0.0,335.1371034904522,335.1371034904522,29.493305705201312,11.363158366861157,0.8733264263003281,87.33264263003281
15600.0,260.0,0,0.0,332.6794919243112,332.6794919243112,29.473503354491534,11.287409166227041,0.868375838622883,86.8375838622883
15660.0,261.0,0,0.0,330.9788696740969,330.9788696740969,29.453802231296645,11.237220480906524,0.8634505578241614,86.34505578241614
15720.0,262.0,0,0.0,330.1095620926345,330.1095620926345,29.434152852600654,11.215188143709993,0.8585382131501638,85.85382131501638
15780.0,263.0,0,0.0,330.1095620926345,330.1095620926345,29.414503473904666,11.222680076360769,0.8536258684761663,85.36258684761663
15840.0,264.0,0,0.0,330.9788696740969,330.9788696740969,29.394802350709778,11.259775307388825,0.8487005876774446,84.87005876774447
15900.0,265.0,0,0.0,332.6794919243112,332.6794919243112,29.374999999999996,11.325259299551021,0.8437499999999994,84.37499999999994
15960.0,266.0,0,0.0,335.13710349045203,335.13710349045203,29.355051362887473,11.416675765526124,0.8387628407218678,83.87628407218678
16020.0,267.0,0,0.0,338.2442949541506,338.2442949541506,29.334917773902106,11.530432693255086,0.8337294434755262,83.37294434755262
16080.0,268.0,0,0.0,341.86526713848406,341.86526713848406,29.31456865085815,11.661957957156444,0.8286421627145368,82.86421627145369
16140.0,269.0,0,0.0,345.8417661836447,345.8417661836447,29.293982831442456,11.805897756328248,0.8234957078606137,82.34957078606136
16200.0,270.0,1,600.0,349.99999999999994,-250.00000000000006,29.308863783823405,-8.529842775344429,0.8272159459558517,82.72159459558517
16260.0,271.0,1,601.2556165273943,354.15823381635516,-247.09738271103913,29.32357196136573,-8.42657855723013,0.8308929903414327,83.08929903414327
16320.0,272.0,1,602.5051158172813,358.134732861516,-244.3703829557653,29.33811781749405,-8.32944991481524,0.8345294543735124,83.45294543735125
16380.0,273.0,1,603.7424104347197,361.75570504584937,-241.9867053888703,29.35252178805291,-8.24415384600324,0.8381304470132278,83.81304470132278
16440.0,274.0,1,604.961472404706,364.8628965095478,-240.0985758951582,29.366813369951434,-8.17584709891713,0.841703342487858,84.1703342487858
16500.0,275.0,1,606.1563625798619,367.32050807568874,-238.8358545041732,29.381029789862396,-8.128913663420365,0.8452574474655987,84.52574474655987
16560.0,276.0,1,607.3212595753644,369.0211303259031,-238.3001292494613,29.395214321365337,-8.106766177794373,0.8488035803413347,84.88035803413348
16620.0,277.0,1,608.450488130146,369.8904379073655,-238.56005022278055,29.409414324354792,-8.111689936824822,0.8523535810886975,85.23535810886975
16680.0,278.0,1,609.5385467561977,369.8904379073655,-239.64810884883218,29.42367909273865,-8.1447363565073,0.8559197731846623,85.59197731846623
16740.0,279.0,1,610.5801345412646,369.0211303259031,-241.55900421536148,29.438057604894325,-8.205670613783983,0.8595144012235814,85.95144012235814
16800.0,280.0,1,611.5701769743577,367.3205080756888,-244.24966889866886,29.452596275662103,-8.29297582503796,0.8631490689155259,86.3149068915526
16860.0,281.0,1,612.503850668262,364.8628965095479,-247.64095415871407,29.46733680864774,-8.403913654186734,0.8668342021619354,86.68342021619354
16920.0,282.0,1,613.376606858593,361.7557050458495,-251.62090181274357,29.482314243279454,-8.534638757881803,0.8705785608198631,87.0578560819863
16980.0,283.0,1,614.184193564921,358.134732861516,-256.049460703405,29.497555282607035,-8.680362092731874,0.874388820651759,87.4388820651759
